brand_name,suburb,state,easy_weddings_rating,easy_weddings_review_count,easy_weddings_price_from,easy_weddings_profile_url,is_destination_specialist,ew_page
Carla Davern The Celebrant & MC,Sydney,New South Wales,5.0,244,,https://www.easyweddings.com.au/MarriageCelebrant/Sydney/CarlaDavern/,False,1
Noosa Style Ceremonies,Noosa Heads,Queensland,4.95,20,$1000,https://www.easyweddings.com.au/MarriageCelebrant/SunshineCoast/NoosaStyleCeremonies/,True,1
Christina Towler Celebrancy,Brisbane,Queensland,5.0,95,$1000,https://www.easyweddings.com.au/MarriageCelebrant/Brisbane/ChristinaTowler/,False,1
Julie Winter Celebrant,Lane Cove North,New South Wales,5.0,28,,https://www.easyweddings.com.au/MarriageCelebrant/Sydney/JulieWinterMarriageCelebrant/,False,1
CHELSEA MCNAMARA - Lovebirds Civil Celebrant,North Ipswich,Queensland,4.99,118,$850,https://www.easyweddings.com.au/MarriageCelebrant/Brisbane/CHELSEAMCNAMARACivilCelebrant/,False,1
Sarahmonial Services Celebrant and MC,Lindfield,New South Wales,5.0,21,$750,https://www.easyweddings.com.au/MarriageCelebrant/Sydney/SarahLevettCelebrantandMC/,False,1
Married by Tracey,Bilyana,Queensland,5.0,12,,https://www.easyweddings.com.au/MarriageCelebrant/Townsville/MarriedbyTracey/,False,1
Celebrant Becky Kate,Geelong & Surrounds,Victoria,5.0,33,$900,https://www.easyweddings.com.au/MarriageCelebrant/Geelong/CelebrantBeckyKate/,False,1
Sarah Sheehy Celebrant,Varsity Lakes,Queensland,5.0,15,,https://www.easyweddings.com.au/MarriageCelebrant/GoldCoast/SarahSheehyCelebrant/,False,1
It Is Love - Amy Bruce,Gold Coast,Queensland,5.0,21,$850,https://www.easyweddings.com.au/MarriageCelebrant/GoldCoast/ItIsLove/,True,1
Celebrations by Rosalie,Sandringham,Victoria,5.0,113,$980,https://www.easyweddings.com.au/MarriageCelebrant/Melbourne/CelebrationsByRosalie/,False,1
Janet Lomax ~ Sydney\'s Inner West Marriage Celebrant,Balmain,New South Wales,4.98,195,,https://www.easyweddings.com.au/MarriageCelebrant/Sydney/JanetLomaxSydneysInnerWestMarriageCelebrant/,False,1
Civil Celebrant Felicity - Creating Memories,Donvale,Victoria,5.0,52,$1050,https://www.easyweddings.com.au/MarriageCelebrant/Melbourne/CivilCelebrantFelicityMelbourne/,False,1
Mike Larkan - Celebrant & MC,Melbourne,,4.97,132,,https://www.easyweddings.com.au/MarriageCelebrant/Melbourne/MikeLarkan/,False,1
Blair Fraser Celebrant,North Perth,Western Australia,4.99,74,$880,https://www.easyweddings.com.au/MarriageCelebrant/Perth/BlairFraserCelebrant/,False,1
Benn Stone Melbourne Cityside Celebrant + DJ/MC,Melbourne,Victoria,5.0,94,,https://www.easyweddings.com.au/MarriageCelebrant/Melbourne/BennStoneCelebrantMelbourneCitysideCelebrant/,False,1
Shelly Bennett Marriage Celebrant,Randwick,New South Wales,5.0,15,,https://www.easyweddings.com.au/MarriageCelebrant/Sydney/ShellyBennettMarriageCelebrant/,False,1
A Stand-up Celebrant,Abbotsford,Victoria,5.0,291,,https://www.easyweddings.com.au/MarriageCelebrant/Melbourne/AStandupCelebrant/,False,1
Kate Fenton - Perth Marriage Celebrant,Scarborough,Western Australia,5.0,17,,https://www.easyweddings.com.au/MarriageCelebrant/Perth/KateFentonPerthMarriageCelebrant/,False,1
Paul Wheeler,Waterloo,New South Wales,5.0,50,,https://www.easyweddings.com.au/MarriageCelebrant/Sydney/PaulWheeler/,True,1
Olivia Ferraro Marriage Celebrant,Reservoir,Victoria,5.0,92,,https://www.easyweddings.com.au/MarriageCelebrant/Melbourne/OliviaFerraroMarriageCelebrantForeverBeginsToday/,False,1
Christopher Steele,Adelaide & surrounding country areas,,4.92,24,$800,https://www.easyweddings.com.au/MarriageCelebrant/Adelaide/ChristopherSteele/,False,1
Ryan Black,Nerang,Queensland,5.0,94,$1590,https://www.easyweddings.com.au/MarriageCelebrant/GoldCoast/RyanBlack/,False,1
Josh Withers,Hobart,Tasmania,4.96,47,$1420,https://www.easyweddings.com.au/MarriageCelebrant/Hobart/JoshuaWithersWeddingCelebrant/,True,1
Ceremonies by Shaun,Woori Yallock,Victoria,5.0,5,,https://www.easyweddings.com.au/MarriageCelebrant/YarraValley/CeremoniesbyShaun/,True,1
GinaS Cairns Tropical Weddings,Cairns City,Queensland,4.98,44,,https://www.easyweddings.com.au/MarriageCelebrant/Cairns/GinaSCairnsTropicalWeddings/,False,1
Brendan Anning - Marriage Celebrant,Kangaroo Point,Queensland,4.98,46,$1200,https://www.easyweddings.com.au/MarriageCelebrant/Brisbane/BrendanAnningMarriageCelebrant/,False,1
Susan Caporaso - Celebrant,CLARENDON,South Australia,5.0,15,$950,https://www.easyweddings.com.au/MarriageCelebrant/Adelaide/SusanCaporasoCelebrant/,False,1
Andreas Weddings,Peregian Springs,Queensland,5.0,10,,https://www.easyweddings.com.au/MarriageCelebrant/SunshineCoast/AndreasWeddings/,False,1
Melbourne Celebrant Julie,Mount Evelyn,Victoria,4.99,188,,https://www.easyweddings.com.au/MarriageCelebrant/YarraValley/JulieByrne/,False,1
Paul Atherton - Celebrant,Melbourne,Victoria,4.94,16,,https://www.easyweddings.com.au/MarriageCelebrant/Daylesford/PaulAtherton/,False,2
Whitsunday Celebrant - Kieran McCarthy,Airlie Beach,Queensland,5.0,3,,https://www.easyweddings.com.au/MarriageCelebrant/Whitsundays/KieranMcCarthy/,False,2
Jan Harvey Celebrant,Maroochydore,Queensland,4.95,58,$800,https://www.easyweddings.com.au/MarriageCelebrant/SunshineCoast/JanHarvey/,False,2
A Beautiful Day - Victoria Langham,Maitland,New South Wales,4.95,22,$800,https://www.easyweddings.com.au/MarriageCelebrant/HunterValley/ABeautifulDayVictoriaLangham/,False,2
Beautiful Day Celebrancy - Rhyan Andrews,Faulconbridge,New South Wales,5.0,11,$600,https://www.easyweddings.com.au/MarriageCelebrant/BlueMountains/RhyanAndrews/,False,2
Gold Coast Celebrant & MC,Varsity Lakes,Queensland,5.0,55,,https://www.easyweddings.com.au/MarriageCelebrant/GoldCoast/NualaQuigley/,False,2
Darran Moran Civil Marriage Celebrant,Cambridge Park,New South Wales,4.8,10,$600,https://www.easyweddings.com.au/MarriageCelebrant/BlueMountains/DarranMoranCivilMarriageCelebrant/,False,2
Karen Fry Civil Marriage Celebrant,Freshwater,Queensland,5.0,24,,https://www.easyweddings.com.au/MarriageCelebrant/Cairns/KarenFryCivilMarriageCelebrant/,False,2
Elly the Celly,Noosa & Sunshine Coast,Queensland,5.0,11,$850,https://www.easyweddings.com.au/MarriageCelebrant/SunshineCoast/EllytheCelly/,False,2
"Utopia Weddings, Celebrations & Ceremonies",Mount Eliza,Victoria,5.0,1,,https://www.easyweddings.com.au/MarriageCelebrant/Mornington/UtopiaWeddingsCelebrationsAndCeremonies/,False,2
Ceremonies by Ryn,Glenella,Queensland,5.0,5,$650,https://www.easyweddings.com.au/MarriageCelebrant/Whitsundays/CeremoniesbyRyn/,False,2
Wed by Bec,Ruse,New South Wales,5.0,38,$840,https://www.easyweddings.com.au/MarriageCelebrant/SouthernHighlands/WedbyBec/,False,2
Ceremonies by Bernadette,Sunshine Coast,Queensland,5.0,16,,https://www.easyweddings.com.au/MarriageCelebrant/SunshineCoast/CeremoniesbyBernadette/,True,2
Marie Muscat,Mackay,Queensland,4.97,38,$650,https://www.easyweddings.com.au/MarriageCelebrant/Whitsundays/MarieMuscat/,False,2
Chris Bragg Celebrant,AVONDALE,New South Wales,5.0,42,$1250,https://www.easyweddings.com.au/MarriageCelebrant/Wollongong/ChrisBraggCelebrant/,False,2
Lou Kennedy Celebrant,Batemans Bay,New South Wales,5.0,6,$900,https://www.easyweddings.com.au/MarriageCelebrant/Wollongong/LouKennedyCelebrant/,True,2
Surfcoast Ceremonies,Anglesea,Victoria,5.0,3,,https://www.easyweddings.com.au/MarriageCelebrant/Geelong/SurfcoastCeremonies/,False,2
Vanessa Wiggins Ceremonies,Glass House Mountains,Queensland,4.88,8,$1000,https://www.easyweddings.com.au/MarriageCelebrant/SunshineCoast/VanessaWigginsCeremonies/,False,2
Michelle Louise Marriage Celebrant & MC,Yarra Valley,Victoria,5.0,5,$1160,https://www.easyweddings.com.au/MarriageCelebrant/YarraValley/MichelleLouiseMarriageCelebrant/,False,2
Balancing Life,Emu Plains,New South Wales,0.0,0,,https://www.easyweddings.com.au/MarriageCelebrant/BlueMountains/BalancingLife/,False,2
Ceremonies With Heart - Rosemary Hackman,Holder,Australian Capital Territory,4.95,38,$685,https://www.easyweddings.com.au/MarriageCelebrant/Canberra/CeremoniesWithHeartRosemaryHackman/,False,2
Daryll Webb,Melbourne,Victoria,4.95,44,$850,https://www.easyweddings.com.au/MarriageCelebrant/Melbourne/DaryllWebb/,False,2
Wendy McRae,Dingley Village,Victoria,5.0,279,,https://www.easyweddings.com.au/MarriageCelebrant/Melbourne/WendyMcRae/,False,2
Jen Lawrie-Smith Marriage Celebrant,Melbourne,Victoria,5.0,32,,https://www.easyweddings.com.au/MarriageCelebrant/Melbourne/JenLawrieSmithCMC/,True,2
Johan The Celebrant and MC,Kyle Bay,New South Wales,5.0,37,$990,https://www.easyweddings.com.au/MarriageCelebrant/Sydney/JohanTheCelebrant/,False,2
David Lang Celebrant,Willoughby,New South Wales,5.0,173,,https://www.easyweddings.com.au/MarriageCelebrant/Sydney/DavidLangCelebrant/,False,2
