photographer_id,best_confidence,batch_count,batches,website_found,website_found_source,email_found,email_found_source,phone_found,phone_found_source,phone_quarantine_flag,instagram_found,instagram_found_source,facebook_found,facebook_found_source,tiktok_found,tiktok_found_source,pinterest_found,pinterest_found_source,linkedin_found,linkedin_found_source,abn_found,abn_found_source,abn_supplied_unverified,years_in_business,years_in_business_source,service_areas,service_areas_source,notes_combined,grounding_assessment,merge_tier,framing_contagion_risk
PHO-EWDIR-000001,HIGH,3,"1778160890731_photographers_enriched_batch_03_rows_061_090, big_csv_filtered_only_enriched, claude_photographers_FINAL_v2",https://www.passion8.com.au/,claude_photographers_FINAL_v2 (HIGH),,,0418 331 162,claude_photographers_FINAL_v2 (HIGH),,https://www.instagram.com/passion8photography/,claude_photographers_FINAL_v2 (HIGH),https://www.facebook.com/Passion8Photography/,claude_photographers_FINAL_v2 (HIGH),,,,,,,,,,20+ years (1500+ weddings),claude_photographers_FINAL_v2 (HIGH),Melbourne; Yarra Valley; Mornington Peninsula; South Gippsland; Bass Coast; Inverloch,claude_photographers_FINAL_v2 (HIGH),Own domain located via search/RSS references; no direct email/phone/social copied without direct verification. || Own domain located via search/RSS references; no direct email/phone/social copied without direct verification. || Andrew Harrison photographer. 2017 ABIA VIC Wedding Photographer of the Year. Phone from contact page.,PHONE:ok|SOURCES:3+,"GREEN — 3+ sources, no quarantine flags",
PHO-EWDIR-000003,HIGH,3,"1778160890731_photographers_enriched_batch_03_rows_061_090, big_csv_filtered_only_enriched, claude_photographers_FINAL_v2",https://ateiaphotography.com.au/,1778160890731_photographers_enriched_batch_03_rows_061_090 (HIGH),,,1300 558 446,1778160890731_photographers_enriched_batch_03_rows_061_090 (HIGH),,https://www.instagram.com/ateiaphotography/,1778160890731_photographers_enriched_batch_03_rows_061_090 (HIGH),https://www.facebook.com/ateiaphotography/,1778160890731_photographers_enriched_batch_03_rows_061_090 (HIGH),,,,,,,,,,A decade of excellence,1778160890731_photographers_enriched_batch_03_rows_061_090 (HIGH),Melbourne; Docklands; Australian weddings and venues,1778160890731_photographers_enriched_batch_03_rows_061_090 (HIGH),"Own website and own social profiles located; website states 3,000+ couples and call number. || Own website and own social profiles located; website states 3,000+ couples and call number. || Founded by Ramy. Melbourne Docklands studio. 1000+ reviews. Phone from website.",PHONE:ok|SOURCES:3+,"GREEN — 3+ sources, no quarantine flags",
PHO-EWDIR-000004,HIGH,9,"1778160665795_photographers_enriched_batch_01_rows_001_030, batch_c_chatgpt_followup, big_csv_filtered_only_enriched, claude_photographers_FINAL_v2, gemini_photographers_batch_01, google_batch_photographers, google_photographers_batch_02, google_sweep_2_NO_ABNS, perplexity_photographers_batch_01",https://www.acphotography.com.au/,batch_c_chatgpt_followup (HIGH),hello@alexanderchoi.com.au,google_batch_photographers (HIGH),0420 531 812,batch_c_chatgpt_followup (HIGH),,https://www.instagram.com/alexanderchoiphoto/,batch_c_chatgpt_followup (HIGH),https://www.facebook.com/AlexChoiPhotography/,claude_photographers_FINAL_v2 (HIGH),,,,,,,,,31 165 429 801 [CHECKSUM_FAILS] from:google_deep_sweep_2,9+ years,claude_photographers_FINAL_v2 (HIGH),Sydney; Blue Mountains; NSW,claude_photographers_FINAL_v2 (HIGH),"Possible vendor Instagram found via search result only; no own website verified quickly; state/location not strongly verified. || Source: acphotography.com.au || Possible vendor Instagram found via search result only; no own website verified quickly; state/location not strongly verified. || Own website verified. Email not visible on contact page. || Based in Sydney. Source: acphotography.com.au || Trading name: Alexander Choi Photography || Trading name: Alexander Choi. Source batch had hallucinated ABNs (11/13 failed ATO checksum, 5 duplicated across vendors) — ABNs stripped. || Own website found by searching trading name + Sydney; other contacts not clearly listed for weddings, so left blank.",PHONE:ok|EMAIL:generic_pattern|IG:guessable_from_name|WEB:distinctive|ABN:supplied_quarantined|SOURCES:3+,"GREEN — 3+ sources, no quarantine flags",
PHO-EWDIR-000005,HIGH,9,"1778160665795_photographers_enriched_batch_01_rows_001_030, batch_c_chatgpt_followup, big_csv_filtered_only_enriched, claude_photographers_FINAL_v2, gemini_photographers_batch_01, google_batch_photographers, google_photographers_batch_02, google_sweep_2_NO_ABNS, perplexity_photographers_batch_01",https://lightheartwedding.com.au/,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),info@lightheartwedding.com.au,batch_c_chatgpt_followup (HIGH),(02) 9592 0366,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),,https://www.instagram.com/lightheartwedding/,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),https://www.facebook.com/lightheartfilmsphotography/,claude_photographers_FINAL_v2 (HIGH),,,,,,,,,66 160 304 507 [CHECKSUM_FAILS] from:google_deep_sweep_2,10+ years,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),Sydney and beyond,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),"Own website contact page verifies Hurlstone Park address and phone; Instagram bio/website snippet confirms 10+ years. || Source: lightheartwedding.com.au || Own website contact page verifies Hurlstone Park address and phone; Instagram bio/website snippet confirms 10+ years. || All contact details verified via Facebook page listing own website. || Matches Hurlstone Park address. || Trading name: Lightheart Films || Trading name: Lightheart Wedding. Source batch had hallucinated ABNs (11/13 failed ATO checksum, 5 duplicated across vendors) — ABNs stripped. || Website and socials match name and Hurlstone Park; email/phone not clearly confirmed from own site in this pass.",PHONE:ok|EMAIL:generic_pattern|IG:not_obvious|WEB:distinctive|ABN:supplied_quarantined|SOURCES:3+,"GREEN — 3+ sources, no quarantine flags",
PHO-EWDIR-000006,HIGH,9,"1778160665795_photographers_enriched_batch_01_rows_001_030, batch_c_chatgpt_followup, big_csv_filtered_only_enriched, claude_photographers_FINAL_v2, gemini_photographers_batch_01, google_batch_photographers, google_photographers_batch_02, google_sweep_2_NO_ABNS, perplexity_photographers_batch_01",https://www.xtraordinarysydney.com.au/,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),info@xtraordinary.com.au,batch_c_chatgpt_followup (HIGH),0481 551 573,batch_c_chatgpt_followup (HIGH),,https://www.instagram.com/xtraordinaryphotosvideo/,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),https://www.facebook.com/sydneyweddingphotographers/,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),,,,,,,,,"11 154 504 577 [CHECKSUM_FAILS,DUPLICATE_VENDOR] from:google_deep_sweep_2",,,Sydney; NSW,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),"Own website found; social handles matched to Xtraordinary Photos & Video. Phone/email not quickly found on own site snippets. || Source: xtraordinarysydney.com.au || Own website found; social handles matched to Xtraordinary Photos & Video. Phone/email not quickly found on own site snippets. || Email and phone in website footer on every page. || Matches Five Dock address. || Trading name: Xtraordinary Photos & Video || Trading name: Xtraordinary Sydney. Source batch had hallucinated ABNs (11/13 failed ATO checksum, 5 duplicated across vendors) — ABNs stripped. || Own domain and FB page confirmed; detailed contact fields not captured in this pass.",PHONE:ok|EMAIL:generic_pattern|IG:guessable_from_name|WEB:distinctive|ABN:supplied_quarantined|SOURCES:3+,"GREEN — 3+ sources, no quarantine flags",
PHO-EWDIR-000009,HIGH,8,"1778160665795_photographers_enriched_batch_01_rows_001_030, batch_c_chatgpt_followup, big_csv_filtered_only_enriched, claude_photographers_FINAL_v2, gemini_photographers_batch_01, google_photographers_batch_02, google_sweep_2_NO_ABNS, perplexity_photographers_batch_01",https://www.nadinesaacks.com/,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),photography@nadinesaacks.com,batch_c_chatgpt_followup (HIGH),0414 374 386,claude_photographers_FINAL_v2 (HIGH),,https://www.instagram.com/nadinesaacksphotography/,batch_c_chatgpt_followup (HIGH),https://www.facebook.com/nadinesaacksphotography/,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),,,,,,,,,24 075 142 833 [CHECKSUM_FAILS] from:google_deep_sweep_2,20+ years,claude_photographers_FINAL_v2 (HIGH),Sydney,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),"Own website and Facebook page found; contact email/phone not found quickly in searchable snippets. || 20+ years exp. || Own website and Facebook page found; contact email/phone not found quickly in searchable snippets. || Email and phone found on wedding page footer. 20 years experience stated on EW profile. || Based in Rose Bay. || Trading name: Nadine Saacks Photography || Trading name: Nadine Saacks. Source batch had hallucinated ABNs (11/13 failed ATO checksum, 5 duplicated across vendors) — ABNs stripped. || Own site states 20+ years experience and Sydney base; no direct email/phone captured here.",PHONE:ok|EMAIL:name_derived|IG:guessable_from_name|WEB:matches_name|ABN:supplied_quarantined|SOURCES:3+,"GREEN — 3+ sources, no quarantine flags",
PHO-EWDIR-000010,HIGH,9,"1778160665795_photographers_enriched_batch_01_rows_001_030, batch_c_chatgpt_followup, big_csv_filtered_only_enriched, claude_photographers_FINAL_v2, gemini_photographers_batch_01, google_batch_photographers, google_photographers_batch_02, google_sweep_2_NO_ABNS, perplexity_photographers_batch_01",https://mckayphotography.com.au/,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),info@mckayphotography.com.au,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),0403 822 281,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),SUSPECT — phone 0403 822 281 attributed to 4 different vendors across batches,https://www.instagram.com/mckayphotography/,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),https://www.facebook.com/mckayphotography/,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),,,,,,,,,12 145 385 419 [CHECKSUM_FAILS] from:google_deep_sweep_2,15+ years (600+ weddings),claude_photographers_FINAL_v2 (HIGH),Bowral; Southern Highlands; South Coast; Sydney,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),"Own site/contact page verifies email, phone, Bowral base and Southern Highlands focus. || Based in Bowral || Own site/contact page verifies email, phone, Bowral base and Southern Highlands focus. || All details from Facebook page listing own website, phone and email. || Southern Highlands specialist. || Trading name: McKay Wedding Photography || Trading name: McKay Photography. Source batch had hallucinated ABNs (11/13 failed ATO checksum, 5 duplicated across vendors) — ABNs stripped. || No own site confirmed quickly; years_in_business copied as free text from Easy Weddings marketing copy (15+ years, 600 weddings). No direct domain identified in this pass.",PHONE:reject|EMAIL:generic_pattern|IG:not_obvious|WEB:distinctive|ABN:supplied_quarantined|SOURCES:3+,YELLOW — 3+ sources but phone flagged,
PHO-EWDIR-000011,HIGH,7,"1778160665795_photographers_enriched_batch_01_rows_001_030, batch_c_chatgpt_followup, claude_photographers_FINAL_v2, gemini_photographers_batch_01, google_batch_photographers, google_photographers_batch_02, perplexity_photographers_batch_01",https://www.bellaphotoart.com.au/,batch_c_chatgpt_followup (HIGH),bella@bellaphotoart.com.au,batch_c_chatgpt_followup (HIGH),0416 285 447,batch_c_chatgpt_followup (HIGH),REVIEW — phone 0416 285 447 also attributed to 1 other vendor,https://www.instagram.com/bellaphotoart/,batch_c_chatgpt_followup (HIGH),https://www.facebook.com/bellaphotoart/,claude_photographers_FINAL_v2 (HIGH),,,,,,,,,,20+ years (since 2004),claude_photographers_FINAL_v2 (HIGH),Central Coast NSW; Hunter Valley; Port Stephens; Newcastle,claude_photographers_FINAL_v2 (HIGH),Not found quickly — search results were not a clear match for Bella Photo Art Hunter Valley; directory profile only in source data. || Source: bellaphotoart.com.au || EW lists as Hunter Valley but base is Central Coast. Phone confirmed on website. || Central Coast/Hunter Valley. || Trading name: Bella Photo Art || Email and phone taken from Bella Photo Art contact details on own site/profile text referencing bellaphotoart.com.au and Hamlyn Terrace.,PHONE:review|EMAIL:name_derived|IG:guessable_from_name|WEB:matches_name|SOURCES:3+,"GREEN — 3+ sources, no quarantine flags",
PHO-EWDIR-000012,HIGH,9,"1778160665795_photographers_enriched_batch_01_rows_001_030, batch_c_chatgpt_followup, big_csv_filtered_only_enriched, claude_photographers_FINAL_v2, gemini_photographers_batch_01, google_batch_photographers, google_photographers_batch_02, google_sweep_2_NO_ABNS, perplexity_photographers_batch_01",https://www.bedroomstudio.com.au/,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),studio@bedroomstudio.com.au,batch_c_chatgpt_followup (HIGH),0421 769 597,batch_c_chatgpt_followup (HIGH),SUSPECT — phone 0421 769 597 attributed to 3 different vendors across batches,https://www.instagram.com/bedroom.studio_/,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),https://www.facebook.com/BedroomStudioOfficial/,claude_photographers_FINAL_v2 (HIGH),,,,,,,78642095216,claude_photographers_FINAL_v2 (HIGH),45 612 034 507 [CHECKSUM_FAILS] from:google_deep_sweep_2 || 78 642 095 216 [CHECKSUM_OK] from:gemini_batch_01_notes,"10+ years; 180+ 5 star reviews; over 1,000 weddings photographed",1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),Hunter Valley; Newcastle; Central Coast; Port Stephens; Sydney; NSW and beyond,1778160665795_photographers_enriched_batch_01_rows_001_030 (HIGH),"Own website and Instagram bio match Bedroom Studio; Hunter Valley base and NSW travel verified. || Source: bedroomstudio.com.au || Own website and Instagram bio match Bedroom Studio; Hunter Valley base and NSW travel verified. || ABN 78 642 095 216 found on Oneflare. Contact via form only on website — no email listed publicly. || ABN: 78642095216. || Trading name: Bedroom Studio || Trading name: Bedroom Studio. Source batch had hallucinated ABNs (11/13 failed ATO checksum, 5 duplicated across vendors) — ABNs stripped. || Could not quickly confirm an own domain distinct from directory listings for Bedroom Studio in Elermore Vale; leaving fields blank.",PHONE:reject|EMAIL:name_derived|IG:guessable_from_name|WEB:matches_name|ABN:supplied_quarantined|SOURCES:3+,YELLOW — 3+ sources but phone flagged,
PHO-EWDIR-000013,HIGH,3,"1778160890731_photographers_enriched_batch_03_rows_061_090, big_csv_filtered_only_enriched, claude_photographers_FINAL_v2",https://www.melpanteli.com.au/,1778160890731_photographers_enriched_batch_03_rows_061_090 (HIGH),,,,,,https://www.instagram.com/melpanteliphoto/,1778160890731_photographers_enriched_batch_03_rows_061_090 (HIGH),,,,,,,,,,,,,,Daylesford; Macedon Ranges; Victoria,1778160890731_photographers_enriched_batch_03_rows_061_090 (HIGH),"Own website/enquiry page located; site links Instagram/Facebook but Facebook URL not expanded in search result. || Own website/enquiry page located; site links Instagram/Facebook but Facebook URL not expanded in search result. || Based New Gisborne VIC. Award-winning accredited professional. Packages from $2,800.",SOURCES:3+,"GREEN — 3+ sources, no quarantine flags",
